id,name,abbr,archetype,branch,tier,level_max,stats.spd,stats.atk,stats.rng,stats.def,stats.hp,stats.jump,stats.wp,stats.mag,stats.res,growth.spd,growth.atk,growth.rng,growth.def,growth.hp,growth.jump,growth.wp,growth.mag,growth.res,equipment_access,granted_abilities,required_classes,derived_bonuses,jp_costs,prerequisites
medic,Medic,MED,support,tactic,3,10,1.0,,,,6.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""sword"", ""mace"", ""daggers"", ""light_armor"", ""medium_armor"", ""war_horn"", ""crown_of_wisdom""]",[],[],{},"{""bless"": 60, ""counter_stance"": 80, ""battle_roar"": 100, ""steady_aim"": 100, ""battle_dance"": 130, ""snare_trap"": 150, ""purge"": 170}","{""classes"": [[""page"", 4], [""acolyte"", 3]]}"
field_surgeon,Field Surgeon,FIE,support,alchemy,6,10,1.0,,,,9.0,,1.0,4.0,,0.2,,,,1.0,,0.5,0.4,,"[""daggers"", ""sling"", ""staff"", ""robe"", ""light_armor"", ""healers_charm"", ""smoke_bomb_pouch""]",[],[],{},"{""thermite_charge"": 110, ""stim_pack"": 140, ""power_shot"": 180, ""double_shot"": 180, ""rain_of_arrows"": 220, ""rapid_fire"": 250, ""quicken"": 290}","{""classes"": [[""medic"", 4], [""chemist"", 3]]}"
tactician,Tactician,TAC,support,tactic,3,10,1.0,,,,6.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""sword"", ""mace"", ""daggers"", ""light_armor"", ""medium_armor"", ""war_horn"", ""crown_of_wisdom""]",[],[],{},"{""whirlwind"": 60, ""spin_slash"": 80, ""rend"": 100, ""uppercut"": 100, ""grapple_throw"": 130, ""spread_shot"": 150, ""wind_shot"": 170}","{""classes"": [[""page"", 4], [""squire"", 3]]}"
strategist,Strategist,STR,support,tactic,4,10,1.0,,,,7.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""sword"", ""mace"", ""daggers"", ""light_armor"", ""medium_armor"", ""war_horn"", ""crown_of_wisdom""]",[],[],{},"{""electrify"": 80, ""gust_strike"": 100, ""tremor_strike"": 130, ""terrify"": 130, ""arcane_seal"": 160, ""ensnare"": 180, ""daze"": 210}","{""classes"": [[""tactician"", 5]]}"
conductor,Conductor,CON,support,clockwork,5,10,1.0,,,,8.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""sling"", ""crossbow"", ""mace"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""gear_storm"": 90, ""repair_drone"": 120, ""nanite_swarm"": 160, ""group_heal_2"": 160, ""aether_capacitor"": 190, ""pressure_valve"": 220, ""dodge_roll"": 250}","{""classes"": [[""tinker"", 4], [""bard"", 3]]}"
artificer,Artificer,ART,support,clockwork,4,10,1.0,,,,7.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""sling"", ""crossbow"", ""mace"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""deploy_turret"": 80, ""turret_barrage"": 100, ""sonic_emitter"": 130, ""vengeance"": 130, ""wide_swing"": 160, ""crushing_heel"": 180, ""war_stomp"": 210}","{""classes"": [[""tinker"", 4], [""alchemist"", 3]]}"
beastmaster,Beastmaster,BEA,support,beast,5,10,1.0,,,,8.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""bow"", ""short_bow"", ""daggers"", ""light_armor"", ""studded_leather"", ""rangers_quiver""]",[],[],{},"{""reckless_swing"": 90, ""lightning_stab"": 120, ""piercing_thrust"": 160, ""seismic_strike"": 160, ""guard_reflex"": 190, ""vengeful_spirit"": 220, ""thorns"": 250}","{""classes"": [[""page"", 4], [""hunter"", 3]]}"
thief,Thief,THI,control,rogue,2,10,3.0,2.0,,,4.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""poison_strike"": 50, ""cripple"": 60, ""pinning_shot"": 80, ""sleep_spell"": 80, ""first_strike"": 100, ""vigilance"": 110, ""parry"": 130}","{""classes"": [[""cutpurse"", 4]]}"
rogue,Rogue,ROG,control,rogue,3,10,4.0,2.0,,,5.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""hobble"": 60, ""mark_target"": 80, ""arcane_shot"": 100, ""steam_shot"": 100, ""alchemical_shot"": 130, ""blunderbuss"": 150, ""armor_piercing"": 170}","{""classes"": [[""thief"", 5]]}"
trickster,Trickster,TRI,control,rogue,3,10,4.0,2.0,,,5.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""flash_round"": 60, ""gale_slash"": 80, ""fire_nova"": 100, ""ice_nova"": 100, ""lightning_nova"": 130, ""rune_lightning"": 150, ""rune_water"": 170}","{""classes"": [[""thief"", 4]]}"
assassin,Assassin,ASS,control,rogue,4,10,4.0,2.0,,,6.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""nightmare"": 80, ""armor_break"": 100, ""arm_shot"": 130, ""volley"": 130, ""aether_shot"": 160, ""sonic_shot"": 180, ""flare_arrow"": 210}","{""classes"": [[""rogue"", 5]]}"
nightblade,Nightblade,NIG,control,rogue,8,10,5.0,2.0,,,10.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""shadow_execution"": 140, ""zombie"": 180, ""disease"": 230, ""slowga"": 230, ""wp_boost_2"": 280, ""move_plus_2"": 320, ""jump_plus_2"": 370}","{""classes"": [[""assassin"", 4], [""shadowmage"", 3]]}"
shadowdancer,Shadowdancer,SHA,control,rogue,7,10,5.0,2.0,,,9.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""dance_of_shadows"": 120, ""disarm"": 160, ""aggressive_stance"": 200, ""blessing_of_might"": 200, ""nameless_dance"": 250, ""dirge"": 290, ""demoralizing_shout"": 330}","{""classes"": [[""rogue"", 4], [""dancer"", 3]]}"
saboteur,Saboteur,SAB,control,rogue,4,10,4.0,2.0,,,6.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""revolver_fan"": 80, ""shrapnel_shot"": 100, ""quickdraw"": 130, ""wind_nova"": 130, ""arcane_nova"": 160, ""steam_nova"": 180, ""alchemical_nova"": 210}","{""classes"": [[""thief"", 4], [""tinker"", 3]]}"
ninja,Ninja,NIN,control,rogue,6,10,5.0,2.0,,,8.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""siren_song"": 110, ""elegy"": 140, ""pressure_blast"": 180, ""overclock_engine"": 180, ""emp_blast"": 220, ""waterwalk"": 250, ""lavawalk"": 290}","{""classes"": [[""assassin"", 4], [""trickster"", 4]]}"
mesmer,Mesmer,MES,control,control,6,10,5.0,2.0,,,8.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""rod"", ""wand"", ""staff"", ""robe"", ""light_armor"", ""cloak_of_shadows""]",[],[],{},"{""immobilize"": 110, ""sap"": 140, ""reflect"": 180, ""ignite"": 180, ""absorb_fire"": 220, ""mag_boost_2"": 250, ""res_boost_2"": 290}","{""classes"": [[""trickster"", 4], [""mage"", 3]]}"
enchanter,Enchanter,ENC,control,control,7,10,5.0,2.0,,,9.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""rod"", ""wand"", ""staff"", ""robe"", ""light_armor"", ""cloak_of_shadows""]",[],[],{},"{""mass_domination"": 120, ""sleepga"": 160, ""poisonga"": 200, ""ignite_burst"": 200, ""absorb_dark"": 250, ""absorb_poison"": 290, ""absorb_arcane"": 330}","{""classes"": [[""mesmer"", 5]]}"
beguiler,Beguiler,BEG,control,control,8,10,5.0,2.0,,,10.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""rod"", ""wand"", ""staff"", ""robe"", ""light_armor"", ""cloak_of_shadows""]",[],[],{},"{""total_bewilderment"": 140, ""shock_burst"": 180, ""terror_wave"": 230, ""hex_cloud"": 230, ""absorb_steam"": 280, ""absorb_alchemical"": 320, ""absorb_aether"": 370}","{""classes"": [[""enchanter"", 4]]}"
plaguebringer,Plaguebringer,PLA,control,control,9,10,6.0,2.0,,,11.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""rod"", ""wand"", ""staff"", ""robe"", ""light_armor"", ""cloak_of_shadows""]",[],[],{},"{""pandemic"": 150, ""confusion_cloud"": 200, ""reraise"": 260, ""regenga"": 260, ""condemnation"": 310, ""spell_shatter"": 360, ""meteor"": 410}","{""classes"": [[""alchemist"", 4], [""necromancer"", 3]]}"
venomancer,Venomancer,VEN,control,control,6,10,5.0,2.0,,,8.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""rod"", ""wand"", ""staff"", ""robe"", ""light_armor"", ""cloak_of_shadows""]",[],[],{},"{""drench"": 110, ""corrode"": 140, ""enfeeble"": 180, ""hex_spell"": 180, ""spell_penetration"": 220, ""dual_cast"": 250, ""quick_cast"": 290}","{""classes"": [[""alchemist"", 4], [""cultist"", 3]]}"
chronomancer,Chronomancer,CHR,control,control,4,10,4.0,2.0,,,6.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""rod"", ""wand"", ""staff"", ""robe"", ""light_armor"", ""cloak_of_shadows""]",[],[],{},"{""aether_nova"": 80, ""sonic_nova"": 100, ""fire_bomb"": 130, ""frost_vial"": 130, ""corrosive_cloud"": 160, ""counter_throw"": 180, ""riposte_innate"": 210}","{""classes"": [[""mage"", 4], [""scholar"", 3]]}"
scout,Scout,SCO,control,rogue,2,10,3.0,2.0,,,4.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""net_trap"": 50, ""knee_breaker"": 60, ""guard_break"": 80, ""disarming_strike"": 80, ""reflexes"": 100, ""deathblow"": 110, ""second_wind"": 130}","{""classes"": [[""cutpurse"", 3]]}"
